page	chapter	topic_anchor	pdf_text_chars	pdf_text_nonws	pdf_text_words	md_page_marker	text_evidence	formula_signal	formula_status	raster_image_objects	asset_files	asset_status	vector_drawings	layout_status	ocr_status	evidence_grade	learning_use
1	I 基础算法	边界问题	926	636	153	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	22	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
2	I 基础算法	在数组中的两个数字，如果前面一个数字大于后面的数字，则这两个数字组成一个逆序对。输入一个数组,求出	585	491	75	present	present; normalized-match	text-cue	text-present-unverified	1	page-002-image-01.png	extracted-unlinked; 归并排序流程图	18	asset-layout-unreviewed	not-run; prior OCR auth failure recorded	E1-IMAGE	text locator plus conditional template use; image not fully verified
3	I 基础算法	对lower_bound来说，它寻找的就是第一个满足条件“值大于等于x”的元素的位置；对upper_bound函数来说，	1171	794	212	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	17	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
4	I 基础算法	浮点数二分算法模板	902	557	159	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	20	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
5	I 基础算法	高精度加法	1080	767	171	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	16	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
6	I 基础算法	高精度减法	962	607	139	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	17	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
7	I 基础算法	高精度加减乘除：https://www.bilibili.com/video/BV1LA411v7mt/	1109	746	193	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	19	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
8	I 基础算法	高精度加减乘除：https://www.bilibili.com/video/BV1LA411v7mt/	1149	787	133	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	19	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
9	I 基础算法	应用	1029	784	95	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	15	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
10	I 基础算法	应用	1018	695	170	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	19	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
11	I 基础算法	关于前缀和 与 差分的相关博客链接：https://blog.csdn.net/qq_39757593/article/details/129219491	986	626	156	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	20	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
12	I 基础算法	离散化首先需要排序去重：	1007	736	161	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	13	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
13	I 基础算法	区间合并	1065	755	128	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	16	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
14	II 数据结构	应用	773	523	86	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	20	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
15	II 数据结构	反转链表	755	483	86	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	19	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
16	II 数据结构	应用	817	510	77	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	16	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
17	II 数据结构	应用	885	561	118	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	12	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
18	II 数据结构	应用	842	478	136	present	present; normalized-match	not-detected	not-assessed	0	-	no-raster-asset	13	text-order-only	not-run; prior OCR auth failure recorded	E1-TEXT	finite text/code locator; verify constraints and compile
