domain	path	source_class	register_status	existing_skill_evidence	indexed_only	precise_backlink	category	disposition	claim_code_boundary	size_bytes	sha256_16
rtos-project	projects/RTOS项目/基于STM32+FreeRTOS的烟机控制系统文档-Defuddle提取.md	knowledge-document	domain-referenced	no	yes	none	derived-document-unlinked	retain-derived-reading-no-duplicate	Defuddle 提取稿；可作阅读入口，不能与原文重复计数	203034	aff599d88e5a0fc6
rtos-project	projects/RTOS项目/文档/1 入门指南/1.1 项目概述：STM32 + FreeRTOS 油烟机控制系统.md	knowledge-document	domain-referenced	no	yes	none	project-document-unlinked	retain-reference-review	项目设计/说明文档；描述设计意图，源码/配置才决定当前事实	15312	f22301b3613834b9
rtos-project	projects/RTOS项目/文档/2 系统架构与设计/2.2 目录结构与模块职责划分.md	knowledge-document	domain-referenced	no	yes	none	project-document-unlinked	retain-reference-review	项目设计/说明文档；描述设计意图，源码/配置才决定当前事实	16928	b60bfc20d0b283a5
rtos-project	projects/RTOS项目/文档/5 系统功能实现/anti-backflow-animation.html	other-binary-or-config	domain-referenced	no	no	none	interactive-derivative	downgrade-interactive-no-skill	HTML 教学派生物；示例状态不等于源码或硬件实测	25773	9a6ead3cbbbbc310
rtos-project	projects/RTOS项目/源码/BSP/GPIO/gpiox.c	code-or-config	domain-referenced	no	yes	none	project-source-unlinked	retain-reference-review	源码/配置未精确回链；以 project.uvprojx、符号和构建证据确认当前职责	1346	7b0f5657f1515db0
rtos-project	projects/RTOS项目/源码/BSP/GPIO/gpiox.h	code-or-config	domain-referenced	no	yes	none	project-source-unlinked	retain-reference-review	源码/配置未精确回链；以 project.uvprojx、符号和构建证据确认当前职责	631	5701191023261962
rtos-project	projects/RTOS项目/源码/BSP/LCD/FONT.H	code-or-config	domain-referenced	no	yes	none	project-source-unlinked	retain-reference-review	源码/配置未精确回链；以 project.uvprojx、符号和构建证据确认当前职责	34394	52d13186f1b908fa
rtos-project	projects/RTOS项目/源码/BSP/LCD/GUI.h	code-or-config	domain-referenced	no	yes	none	project-source-unlinked	retain-reference-review	源码/配置未精确回链；以 project.uvprojx、符号和构建证据确认当前职责	2797	a2c03db25fa16f61
rtos-project	projects/RTOS项目/源码/BSP/MOTOR/motor.h	code-or-config	domain-referenced	no	yes	none	project-source-unlinked	retain-reference-review	源码/配置未精确回链；以 project.uvprojx、符号和构建证据确认当前职责	1159	17262c6e1f7fb170
rtos-project	projects/RTOS项目/源码/CORE/core_cm3.c	code-or-config	domain-referenced	no	yes	none	project-source-unlinked	retain-reference-review	源码/配置未精确回链；以 project.uvprojx、符号和构建证据确认当前职责	17273	e93a7e36349e7810
rtos-project	projects/RTOS项目/源码/CORE/core_cm3.h	code-or-config	domain-referenced	no	yes	none	project-source-unlinked	retain-reference-review	源码/配置未精确回链；以 project.uvprojx、符号和构建证据确认当前职责	85714	de4668aa9d314d05
rtos-project	projects/RTOS项目/源码/CORE/startup_stm32f10x_hd.s	other-binary-or-config	domain-referenced	no	yes	none	alternate-port-or-heap	retain-variant-no-new-skill	备用启动/port/heap 变体；不能推断当前 target 使用	15503	1ad6e0a965254d4c
rtos-project	projects/RTOS项目/源码/FreeRTOS/croutine.c	code-or-config	domain-referenced	no	yes	none	freertos-core-unlinked	retain-source-reference-review	FreeRTOS 核心/头文件；仅在 target 文件组与符号核对后支撑当前行为	15771	d3cfd0c2decbaba8
rtos-project	projects/RTOS项目/源码/FreeRTOS/event_groups.c	code-or-config	domain-referenced	no	yes	none	freertos-core-unlinked	retain-source-reference-review	FreeRTOS 核心/头文件；仅在 target 文件组与符号核对后支撑当前行为	26251	5f90f6582492b16e
rtos-project	projects/RTOS项目/源码/FreeRTOS/include/FreeRTOS.h	code-or-config	domain-referenced	no	yes	none	freertos-core-unlinked	retain-source-reference-review	FreeRTOS 核心/头文件；仅在 target 文件组与符号核对后支撑当前行为	34726	87d2035d34073834
rtos-project	projects/RTOS项目/源码/FreeRTOS/include/StackMacros.h	code-or-config	domain-referenced	no	yes	none	freertos-core-unlinked	retain-source-reference-review	FreeRTOS 核心/头文件；仅在 target 文件组与符号核对后支撑当前行为	8550	8de3f81b2ab091d3
rtos-project	projects/RTOS项目/源码/FreeRTOS/include/croutine.h	code-or-config	domain-referenced	no	yes	none	freertos-core-unlinked	retain-source-reference-review	FreeRTOS 核心/头文件；仅在 target 文件组与符号核对后支撑当前行为	29133	a74da2025bbbc470
rtos-project	projects/RTOS项目/源码/FreeRTOS/include/deprecated_definitions.h	code-or-config	domain-referenced	no	yes	none	freertos-core-unlinked	retain-source-reference-review	FreeRTOS 核心/头文件；仅在 target 文件组与符号核对后支撑当前行为	10168	ac4d01a500151556
rtos-project	projects/RTOS项目/源码/FreeRTOS/include/event_groups.h	code-or-config	domain-referenced	no	yes	none	freertos-core-unlinked	retain-source-reference-review	FreeRTOS 核心/头文件；仅在 target 文件组与符号核对后支撑当前行为	32882	696a3bf69cba8db6
rtos-project	projects/RTOS项目/源码/FreeRTOS/include/list.h	code-or-config	domain-referenced	no	yes	none	freertos-core-unlinked	retain-source-reference-review	FreeRTOS 核心/头文件；仅在 target 文件组与符号核对后支撑当前行为	21169	fedc7a497f9bcf75
rtos-project	projects/RTOS项目/源码/FreeRTOS/include/mpu_prototypes.h	code-or-config	domain-referenced	no	yes	none	freertos-core-unlinked	retain-source-reference-review	FreeRTOS 核心/头文件；仅在 target 文件组与符号核对后支撑当前行为	12288	1d42f565cb63958f
rtos-project	projects/RTOS项目/源码/FreeRTOS/include/mpu_wrappers.h	code-or-config	domain-referenced	no	yes	none	freertos-core-unlinked	retain-source-reference-review	FreeRTOS 核心/头文件；仅在 target 文件组与符号核对后支撑当前行为	10234	973a6bbafc1b6415
rtos-project	projects/RTOS项目/源码/FreeRTOS/include/portable.h	code-or-config	domain-referenced	no	yes	none	freertos-core-unlinked	retain-source-reference-review	FreeRTOS 核心/头文件；仅在 target 文件组与符号核对后支撑当前行为	8684	cef17f5d93bf6423
rtos-project	projects/RTOS项目/源码/FreeRTOS/include/projdefs.h	code-or-config	domain-referenced	no	yes	none	freertos-core-unlinked	retain-source-reference-review	FreeRTOS 核心/头文件；仅在 target 文件组与符号核对后支撑当前行为	8184	2c5adb8966188f2d
