card_id	page_start	page_end	chapter	topic	text_fact	image_formula_gap	inference	unverified	evidence_level	source_ref
PT-001	1	1	I 基础算法	快速排序与归并排序边界模板	文本层出现快速排序、归并排序函数、分治和边界组合说明	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为基础排序模板定位入口	模板不变量、边界、复杂度、编译/样例和版面顺序未验证	E1-TEXT	pymupdf.md:p1;matrix.tsv:p1
PT-002	2	2	I 基础算法	归并排序统计逆序对	文本层定义逆序对并用合并有序段解释计数过程，出现逆序对代码	图片缺口：page-002-image-01.png 存在；归并流程图和图中文字/箭头未转录	推断：可定位“归并过程统计逆序对”的模板线索	图片关系、计数边界、复杂度、编译/样例未验证	E1-IMAGE	pymupdf.md:p2;matrix.tsv:p2
PT-003	3	3	I 基础算法	整数二分与 lower_bound/upper_bound	文本层给出 lower_bound、upper_bound 语义和两种整数二分代码，含逆序对代码续页	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为整数二分区间模板索引	check 单调性、闭开区间、返回值、复杂度和编译测试未验证	E1-TEXT	pymupdf.md:p3;matrix.tsv:p3
PT-004	4	4	I 基础算法	浮点二分与分数四则运算	文本层出现浮点二分 eps、Fraction 结构、约分和分数运算代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为精度二分和分数模板定位入口	精度阈值、负数/零分母边界、溢出、复杂度和测试未验证	E1-TEXT	pymupdf.md:p4;matrix.tsv:p4
PT-005	5	5	I 基础算法	分数打印与高精度加法	文本层出现分数打印、加减乘除和非负大整数加法代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位分数与高精度基础操作	符号约定、进位、类型范围、复杂度、编译/样例未验证	E1-TEXT	pymupdf.md:p5;matrix.tsv:p5
PT-006	6	6	I 基础算法	高精度减法与比较	文本层出现 A>=B 条件下的高精度减法、去前导零和 cmp 代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为大整数减法/比较的候选骨架	输入约束、借位、零表示、复杂度、编译/样例未验证	E1-TEXT	pymupdf.md:p6;matrix.tsv:p6
PT-007	7	7	I 基础算法	高精度乘法与低精度除法	文本层出现高精度乘低精度、高精度乘高精度和除低精度代码开头	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位大整数乘除模板族	小端表示、进位、除数限制、溢出、复杂度和测试未验证	E1-TEXT	pymupdf.md:p7;matrix.tsv:p7
PT-008	8	8	I 基础算法	高精度除法与一维前缀和	文本层出现高精度除法续写、商余处理以及一维前缀和公式/代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位大整数除法到区间和的过渡页	除零、商的前导零、索引边界、公式版面和模板测试未验证	E1-TEXT	pymupdf.md:p8;matrix.tsv:p8
PT-009	9	9	I 基础算法	二维前缀和与一维差分	文本层出现二维前缀和递推、子矩阵求和、一维差分和查询代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为前缀和/差分题型定位入口	下标约定、溢出、初始化和二维边界未验证	E1-TEXT	pymupdf.md:p9;matrix.tsv:p9
PT-010	10	10	I 基础算法	二维差分	文本层出现一维区间加、二维矩形差分四角更新及恢复代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位区间批量修改模板	差分恢复顺序、边界哨兵、类型范围、复杂度和测试未验证	E1-TEXT	pymupdf.md:p10;matrix.tsv:p10
PT-011	11	11	I 基础算法	离散化、位运算与双指针	文本层说明 value 到 index 映射，出现 lowbit、取位和双指针框架	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为坐标压缩与线性扫描的候选入口	映射保序条件、重复值、指针不变量、复杂度和测试未验证	E1-TEXT	pymupdf.md:p11;matrix.tsv:p11
PT-012	12	12	I 基础算法	离散化排序去重与区间查询	文本层出现排序去重、find 映射、add/query 容器及前缀和处理	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位稀疏坐标上的前缀和模板	坐标是否连续、重复更新、1-based 偏移、复杂度和测试未验证	E1-TEXT	pymupdf.md:p12;matrix.tsv:p12
PT-013	13	13	I 基础算法	区间合并	文本层出现按左端点排序、维护 st/ed 并输出合并区间的代码起始	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为区间合并模板的起始页定位	端点相接是否合并、初始化哨兵、排序稳定性和测试未验证	E1-TEXT	pymupdf.md:p13;matrix.tsv:p13
PT-014	14	14	II 数据结构	区间合并续与单链表	文本层补出区间合并循环和数组模拟单链表的初始化、头插、插入、删除	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位区间合并收尾与静态链表模板	链表下标语义、删除头结点、容量、复杂度和测试未验证	E1-TEXT	pymupdf.md:p14;matrix.tsv:p14
PT-015	15	15	II 数据结构	反转链表与双链表	文本层出现反转链表指针更新和带哨兵的双链表插入/删除代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为链表操作复习入口	空链表、节点编号、哨兵、指针更新顺序和测试未验证	E1-TEXT	pymupdf.md:p15;matrix.tsv:p15
PT-016	16	16	II 数据结构	双链表应用与栈	文本层补出双链表操作，给出数组栈入栈、出栈、栈顶和空判断	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位双链表到栈接口的模板	删除/插入边界、栈溢出、下标约定、复杂度和测试未验证	E1-TEXT	pymupdf.md:p16;matrix.tsv:p16
PT-017	17	17	II 数据结构	栈应用与表达式求值	文本层出现栈操作题和 num/op 双栈表达式求值代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位运算符优先级栈模型	括号/一元运算、除零、输入格式、优先级表和测试未验证	E1-TEXT	pymupdf.md:p17;matrix.tsv:p17
PT-018	18	18	II 数据结构	普通队列与表达式求值续	文本层补出表达式求值收尾和数组队列队头/队尾/空判断	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为基础 FIFO 模板定位页	队列容量、空队列访问、表达式异常和测试未验证	E1-TEXT	pymupdf.md:p18;matrix.tsv:p18
PT-019	19	19	II 数据结构	循环队列	文本层给出普通队列应用和模 N 的循环队列入队、出队、空判断	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位环形缓冲区写法	满队列判定、头尾绕回、容量浪费和测试未验证	E1-TEXT	pymupdf.md:p19;matrix.tsv:p19
PT-020	20	20	II 数据结构	单调栈与单调队列	文本层描述维护单调性、最近更大/更小值和滑动窗口最值，并给出代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为单调结构题型入口	check 方向、窗口边界、重复元素、复杂度和测试未验证	E1-TEXT	pymupdf.md:p20;matrix.tsv:p20
PT-021	21	21	II 数据结构	KMP 一下标版本	文本层出现 KMP 链接、1-based 模式串 next 数组和匹配代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位 KMP 前缀函数/失配跳转模板	next 定义、匹配下标、重复匹配、复杂度和测试未验证	E1-TEXT	pymupdf.md:p21;matrix.tsv:p21
PT-022	22	22	II 数据结构	KMP 零下标与文本匹配	文本层出现 0-based/1-based 变量混合的 next 处理和匹配框架	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为不同下标 KMP 对照页	下标转换、空模式串、输出位置、复杂度和编译测试未验证	E1-TEXT	pymupdf.md:p22;matrix.tsv:p22
PT-023	23	23	II 数据结构	string 版 KMP	文本层出现基于 string、nxt 数组和前后缀长度的 KMP 代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可定位 string 接口的 KMP 候选实现	nxt 语义、边界字符、重叠匹配、复杂度和测试未验证	E1-TEXT	pymupdf.md:p23;matrix.tsv:p23
PT-024	24	24	II 数据结构	二叉树存储与遍历	文本层出现数组存储左右孩子、先/中/后序创建和遍历代码	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为二叉树遍历模板定位页	空节点标记、idx 生命周期、递归深度、遍历顺序和测试未验证	E1-TEXT	pymupdf.md:p24;matrix.tsv:p24
PT-025	25	25	II 数据结构	二叉树遍历应用	文本层补出四种遍历、输入样例及对应输出注释	未登记图片或 text-gap；不等于源页没有图或公式	推断：可作为遍历结果对照入口	样例与代码一致性、根节点、空树和输出格式未验证	E1-TEXT	pymupdf.md:p25;matrix.tsv:p25
