domain	class	status	disposition	confidence	reason	disposition_reason	artifact_refs	path	size_bytes	sha256_16
vault-root-or-unknown	other-binary-or-config	needs-domain-review	excluded-metadata	high	domain requires explicit disposition/review; a directory prefix is not file-level evidence	操作系统目录元数据；不属于学习资料		.DS_Store	6148	2239cb70e1b573bc
algorithm-pdf	knowledge-document	domain-referenced	domain-reference	medium	full path, conservative source-map alias, or fixed-prefix glob appears in the domain distillation text	mentioned by the domain distillation package	algorithm-pdf	archive/acwing/算法基础课模板大全-C++版本.pdf	3948866	a83d3d869c671037
vault-root-or-unknown	knowledge-document	needs-domain-review	needs-review	low	domain requires explicit disposition/review; a directory prefix is not file-level evidence	domain or provenance has not received a complete review		archive/dan_koe_如何在一天内修复你的人生_中文完整翻译.md	35234	5eb4fd0cd940eae0
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/00-配置/全局索引.md	6901	f33d973cdf80fbd9
leetcode-algorithm-learning	knowledge-document	skill-evidence	skill-evidence	high	explicitly listed in canonical Skill source_files	explicit source_files entry in canonical Skill	algorithm-active-recall-loop	archive/力扣刷题/00-配置/学习日志.md	1570	a92f5b0e444e9459
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/00-配置/学员档案.md	2671	b03e5abc95c2a0ac
leetcode-algorithm-learning	knowledge-document	skill-evidence	skill-evidence	high	explicitly listed in canonical Skill source_files	explicit source_files entry in canonical Skill	algorithm-active-recall-loop	archive/力扣刷题/00-配置/进度看板.md	3665	390b289577e43827
leetcode-algorithm-learning	knowledge-document	skill-evidence	skill-evidence	high	explicitly listed in canonical Skill source_files	explicit source_files entry in canonical Skill	algorithm-problem-framework-selection	archive/力扣刷题/01-Raw/01-Hot100刷题体系调研报告.md	30510	7b9a0ee3098c246c
leetcode-algorithm-learning	knowledge-document	skill-evidence	skill-evidence	high	explicitly listed in canonical Skill source_files	explicit source_files entry in canonical Skill	algorithm-active-recall-loop,algorithm-problem-framework-selection	archive/力扣刷题/01-Raw/02-Hot100两周速通刷题计划.md	44335	d2222aefa6c13aeb
leetcode-algorithm-learning	knowledge-document	domain-scoped	domain-scope	low	a documented directory prefix in the domain text covers the path, but no file-level citation was found	covered by source-boundary.md but not individually cited	leetcode-algorithm-learning	archive/力扣刷题/01-Raw/03-Hot100学习教程与题目详解.md	147359	39c5f39a3a71e702
