index_no	collection	resource_id	title	author	post_created_at	source_url	tags	source_status_existing	source_disposition_existing	source_confidence_existing	topic_primary	topic_secondary	content_chars	content_quality	index_use	method_or_external_reference	user_fact_boundary	evidence_level	full_distill_recommended	uncertainty_flags	has_media	has_comments	duplicate_resource_id	source_path
001	Albums	album:6a5276360000000035017d4b	skills	not_applicable	not_applicable	not_applicable	not_applicable	domain-referenced	derived-index	high	derived-album-index	navigation	1505	derived-index	派生导航（非独立原帖）	仅作专辑目录/去重线索；不从索引条目抽取事实或用户经历	专辑索引是导出派生导航，不代表用户认同、实践或事实，也不替代被链接的原帖	D0	no	none	no	no	no	小红书（RedNote）/。。。。。。。/专辑（Albums）/skills/专辑索引.md
002	Albums	album:5d8a3e42000000000103a328	个人专辑	not_applicable	not_applicable	not_applicable	not_applicable	domain-referenced	derived-index	high	derived-album-index	navigation	723	derived-index	派生导航（非独立原帖）	仅作专辑目录/去重线索；不从索引条目抽取事实或用户经历	专辑索引是导出派生导航，不代表用户认同、实践或事实，也不替代被链接的原帖	D0	no	none	no	no	no	小红书（RedNote）/。。。。。。。/专辑（Albums）/个人专辑/专辑索引.md
003	Albums	album:6a566b6900000000320201b0	好玩的 ai	not_applicable	not_applicable	not_applicable	not_applicable	domain-referenced	derived-index	high	derived-album-index	navigation	1450	derived-index	派生导航（非独立原帖）	仅作专辑目录/去重线索；不从索引条目抽取事实或用户经历	专辑索引是导出派生导航，不代表用户认同、实践或事实，也不替代被链接的原帖	D0	no	none	no	no	no	小红书（RedNote）/。。。。。。。/专辑（Albums）/好玩的 ai/专辑索引.md
004	Albums	album:6a2156380000000032032bd6	小米嵌入式	not_applicable	not_applicable	not_applicable	not_applicable	domain-referenced	derived-index	high	derived-album-index	navigation	723	derived-index	派生导航（非独立原帖）	仅作专辑目录/去重线索；不从索引条目抽取事实或用户经历	专辑索引是导出派生导航，不代表用户认同、实践或事实，也不替代被链接的原帖	D0	no	none	no	no	no	小红书（RedNote）/。。。。。。。/专辑（Albums）/小米嵌入式/专辑索引.md
005	Albums	album:68a1edd10000000024008b36	就业	not_applicable	not_applicable	not_applicable	not_applicable	domain-referenced	derived-index	high	derived-album-index	navigation	411	derived-index	派生导航（非独立原帖）	仅作专辑目录/去重线索；不从索引条目抽取事实或用户经历	专辑索引是导出派生导航，不代表用户认同、实践或事实，也不替代被链接的原帖	D0	no	none	no	no	no	小红书（RedNote）/。。。。。。。/专辑（Albums）/就业/专辑索引.md
006	Albums	album:6a5a1358000000003202165d	嵌入式学习经验	not_applicable	not_applicable	not_applicable	not_applicable	domain-referenced	derived-index	high	derived-album-index	navigation	1368	derived-index	派生导航（非独立原帖）	仅作专辑目录/去重线索；不从索引条目抽取事实或用户经历	专辑索引是导出派生导航，不代表用户认同、实践或事实，也不替代被链接的原帖	D0	no	none	no	no	no	小红书（RedNote）/。。。。。。。/专辑（Albums）/嵌入式学习经验/专辑索引.md
007	Albums	album:6a61c4bf00000000340084ce	嵌入式就业	not_applicable	not_applicable	not_applicable	not_applicable	domain-referenced	derived-index	high	derived-album-index	navigation	142	derived-index	派生导航（非独立原帖）	仅作专辑目录/去重线索；不从索引条目抽取事实或用户经历	专辑索引是导出派生导航，不代表用户认同、实践或事实，也不替代被链接的原帖	D0	no	none	no	no	no	小红书（RedNote）/。。。。。。。/专辑（Albums）/嵌入式就业/专辑索引.md
008	Albums	album:69f3879d0000000032020e1f	嵌入式面经	not_applicable	not_applicable	not_applicable	not_applicable	domain-referenced	derived-index	high	derived-album-index	navigation	1316	derived-index	派生导航（非独立原帖）	仅作专辑目录/去重线索；不从索引条目抽取事实或用户经历	专辑索引是导出派生导航，不代表用户认同、实践或事实，也不替代被链接的原帖	D0	no	none	no	no	no	小红书（RedNote）/。。。。。。。/专辑（Albums）/嵌入式面经/专辑索引.md
009	Albums	album:6a7df78c000000001701cc08	找实习工作	not_applicable	not_applicable	not_applicable	not_applicable	domain-referenced	derived-index	high	derived-album-index	navigation	166	derived-index	派生导航（非独立原帖）	仅作专辑目录/去重线索；不从索引条目抽取事实或用户经历	专辑索引是导出派生导航，不代表用户认同、实践或事实，也不替代被链接的原帖	D0	no	none	no	no	no	小红书（RedNote）/。。。。。。。/专辑（Albums）/找实习工作/专辑索引.md
010	Albums	album:6a5e230100000000320314ae	算法刷题	not_applicable	not_applicable	not_applicable	not_applicable	domain-referenced	derived-index	high	derived-album-index	navigation	168	derived-index	派生导航（非独立原帖）	仅作专辑目录/去重线索；不从索引条目抽取事实或用户经历	专辑索引是导出派生导航，不代表用户认同、实践或事实，也不替代被链接的原帖	D0	no	none	no	no	no	小红书（RedNote）/。。。。。。。/专辑（Albums）/算法刷题/专辑索引.md
011	Posts	67ea45bb000000001b024a1e	生物技术与工程考研调剂	。。。。。。。	2025-03-31T07:35:23.000Z	https://www.xiaohongshu.com/explore/67ea45bb000000001b024a1e?xsec_token=AB695wTjRYv0KWR9I1sfR_x6jmnUsUpaBLOSnG4eA4N2o%3D	生物与医药调剂;生物信息学;考研调剂;生物技术与工程考研;生物技术与工程	domain-referenced	needs-review	low	graduate-research	none	67	short-or-media-led	仅外部参考（正文不足）	正文过短或主要依赖图片/视频；只登记标题、作者与原链，全文/媒体需另行核验	来源路径标记为 Posts；作者字段/账号归属按导出记录保留，不据此推断用户身份，正文不自动升格为已验证用户事实	E1	no	collection-identity-uncertain;media-needs-review	yes	yes	no	小红书（RedNote）/。。。。。。。/我的发布（Posts）/生物技术与工程考研调剂 - 67ea45bb000000001b024a1e.md
012	Posts	67ea443b000000001c001c23	考数学和数据结构的生物信息学该往哪调啊，本科非生物，调剂可太难了，救救孩子吧[哭	。。。。。。。	2025-03-31T07:28:59.000Z	https://www.xiaohongshu.com/explore/67ea443b000000001c001c23?xsec_token=AB695wTjRYv0KWR9I1sfR_x89FK_C0gBGyA28Gr3dq9sI%3D	none	domain-referenced	needs-review	low	graduate-research	none	43	short-or-media-led	仅外部参考（正文不足）	正文过短或主要依赖图片/视频；只登记标题、作者与原链，全文/媒体需另行核验	来源路径标记为 Posts；作者字段/账号归属按导出记录保留，不据此推断用户身份，正文不自动升格为已验证用户事实	E1	no	collection-identity-uncertain;media-needs-review	yes	yes	no	小红书（RedNote）/。。。。。。。/我的发布（Posts）/考数学和数据结构的生物信息学该往哪调啊，本科非生物，调剂可太难了，救救孩子吧[哭 - 67ea443b000000001c001c23.md
013	Bookmarks	69a8ef53000000002801c002	#复试 #考研复试 #电气工程	大红薯777	2026-03-05T02:49:55.000Z	https://www.xiaohongshu.com/explore/69a8ef53000000002801c002?xsec_token=AB6z7ogbwzMlZaJSsoUJNRq2H0I_MBZs7nrnIySvzVUko%3D	复试;考研复试;电气工程	domain-referenced	external-reference	medium	graduate-research	none	5	short-or-media-led	仅外部参考（正文不足）	正文过短或主要依赖图片/视频；只登记标题、作者与原链，全文/媒体需另行核验	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实	E1	no	media-needs-review	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/#复试 #考研复试 #电气工程 - 69a8ef53000000002801c002.md
014	Bookmarks	6a565b0a000000001702d88e	0基础嵌入式Linux学习路线	zllllll	2026-07-14T15:51:38.000Z	https://www.xiaohongshu.com/explore/6a565b0a000000001702d88e?xsec_token=ABA0xQIHl3tISLdGDtMelf4n8XQcm-A8EZQckUB7zGJ4M%3D	嵌入式开发;嵌入式;秋招;自学;嵌入式Linux;大厂实习	domain-referenced	external-reference	medium	embedded-career	embedded-technical;career-and-employment;ai-agent-workflow	1036	prose	方法候选（学习路线/复习流程）	可吸收：把基础语言、系统/驱动、RTOS/通信、项目与投递串成阶段路线，用项目输出检验进度；原帖顺序需按目标岗位调整	来源路径标记为 Bookmarks；收藏行为不等于认同或实践，原作者经历/观点仅作外部参考，不转为用户事实；其中第一人称内容仍是原帖自述，需另证	E3	yes	none	yes	yes	no	小红书（RedNote）/。。。。。。。/收藏（Bookmarks）/0基础嵌入式Linux学习路线 - 6a565b0a000000001702d88e.md
