domain	path	source_class	register_status	existing_skill_evidence	indexed_only	precise_backlink	category	disposition	claim_code_boundary	size_bytes	sha256_16
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/00. 原始合并稿.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	863470	57a5e68807fbf45b
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/02｜硬件结构篇/2.1 CPU 是如何执行程序的？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	27031	f1e839498ee536ef
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/02｜硬件结构篇/2.2 磁盘比内存慢几万倍？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	14886	e4cf95abe808c2d6
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/02｜硬件结构篇/2.3 如何写出让 CPU 跑得更快的代码？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	21031	4705b4e1f408f6cb
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/02｜硬件结构篇/2.4 CPU 缓存一致性.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	17969	2586cfe009c1859a
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/02｜硬件结构篇/2.5 CPU 是如何执行任务的？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	21654	b0ff0a00c4096a98
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/02｜硬件结构篇/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	1617	8b6cbc6913c77c30
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/03｜系统结构篇/3.1 Linux 内核 vs Windows 内核.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	10341	332326b6e2f4bd3c
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/03｜系统结构篇/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	836	767ca9298078e2f0
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/04｜内存管理篇/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	1898	96f043953270e28c
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/05｜进程管理篇/5.1 进程、线程基础知识.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	44553	ca6e78f30e34adc0
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/05｜进程管理篇/5.2 进程间有哪些通信方式？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	25604	8a151cf00b0b4dde
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/05｜进程管理篇/5.3 多线程冲突了怎么办？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	30574	73badf7665fbe273
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/05｜进程管理篇/5.4 怎么避免死锁？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	15221	b219ca92da87e775
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/05｜进程管理篇/5.5 什么是悲观锁、乐观锁？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	16617	df59bd6fd6ec45a6
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/05｜进程管理篇/5.6 一个进程最多可以创建多少个线程？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	9694	2fe92ec988b4fb62
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/05｜进程管理篇/5.7 线程崩溃了，进程也会崩溃吗？.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	14606	32ade73984bc49e3
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/05｜进程管理篇/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	1790	0c75696349d52da3
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/06｜调度算法篇/6.1 进程调度／页面置换／磁盘调度算法.md	knowledge-document	domain-referenced	no	yes	none	tutorial-unlinked	retain-reference-review	教程/转载解释；需目标内核、平台或源码核验，不写成项目事实	26668	37d384e78827dd60
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/06｜调度算法篇/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	868	2c56926e41f0efd5
embedded-core	projects/嵌入式八股/2. 小林图解/图解系统/07｜文件系统篇/index.md	knowledge-document	domain-referenced	no	yes	none	index-or-aggregate	retain-navigation-downgrade	目录/合并入口；仅导航或聚合，不单独计 Skill	1065	aaa25dac18a1390b
