record_file	record_id	title	unit_type	track	module	mastery	review_flag	last_studied	source_value	source_target	source_exists
工作台/条目记录/150题-001.md	150-001	第1题：static 关键字有哪些作用？	八股题	150题	C/C++	学过	待回看	order: 1	[[projects/嵌入式八股/嵌入式高频八股150题.md#第1题：static 关键字有哪些作用？]]	projects/嵌入式八股/嵌入式高频八股150题.md	yes
工作台/条目记录/150题-002.md	150-002	第2题：const 关键字有什么作用？	八股题	150题	C/C++	学过	待回看	order: 2	[[projects/嵌入式八股/嵌入式高频八股150题.md#第2题：const 关键字有什么作用？]]	projects/嵌入式八股/嵌入式高频八股150题.md	yes
工作台/条目记录/150题-003.md	150-003	第3题：volatile 关键字在嵌入式开发中有什么作用？	八股题	150题	C/C++	学过	待回看	order: 3	[[projects/嵌入式八股/嵌入式高频八股150题.md#第3题：volatile 关键字在嵌入式开发中有什么作用？]]	projects/嵌入式八股/嵌入式高频八股150题.md	yes
工作台/条目记录/150题-004.md	150-004	第4题：extern 关键字有什么作用？	八股题	150题	C/C++	学过	待回看	order: 4	[[projects/嵌入式八股/嵌入式高频八股150题.md#第4题：extern 关键字有什么作用？]]	projects/嵌入式八股/嵌入式高频八股150题.md	yes
工作台/条目记录/150题-005.md	150-005	第5题：指针和数组有什么区别？	八股题	150题	C/C++	学过	待回看	order: 5	[[projects/嵌入式八股/嵌入式高频八股150题.md#第5题：指针和数组有什么区别？]]	projects/嵌入式八股/嵌入式高频八股150题.md	yes
工作台/条目记录/150题-006.md	150-006	第6题：指针和引用有什么区别？	八股题	150题	C/C++	学过	待回看	order: 6	[[projects/嵌入式八股/嵌入式高频八股150题.md#第6题：指针和引用有什么区别？]]	projects/嵌入式八股/嵌入式高频八股150题.md	yes
工作台/条目记录/150题-007.md	150-007	第7题：sizeof 和 strlen 有什么区别？	八股题	150题	C/C++	学过	待回看	order: 7	[[projects/嵌入式八股/嵌入式高频八股150题.md#第7题：sizeof 和 strlen 有什么区别？]]	projects/嵌入式八股/嵌入式高频八股150题.md	yes
工作台/条目记录/150题-008.md	150-008	第8题：堆和栈有什么区别？	八股题	150题	C/C++	学过	待回看	order: 8	[[projects/嵌入式八股/嵌入式高频八股150题.md#第8题：堆和栈有什么区别？]]	projects/嵌入式八股/嵌入式高频八股150题.md	yes
工作台/条目记录/150题-009.md	150-009	第9题：全局变量、局部变量和静态变量分别存放在哪里？	八股题	150题	C/C++	学过	待回看	order: 9	[[projects/嵌入式八股/嵌入式高频八股150题.md#第9题：全局变量、局部变量和静态变量分别存放在哪里？]]	projects/嵌入式八股/嵌入式高频八股150题.md	yes
工作台/条目记录/150题-010.md	150-010	第10题：malloc/free 和 new/delete 有什么区别？	八股题	150题	C/C++	学过	待回看	order: 10	[[projects/嵌入式八股/嵌入式高频八股150题.md#第10题：malloc/free 和 new/delete 有什么区别？]]	projects/嵌入式八股/嵌入式高频八股150题.md	yes
