skill	symbol	status	matched_source_files
algorithm-active-recall-loop	⬜	exact	archive/力扣刷题/00-配置/学习日志.md;archive/力扣刷题/00-配置/进度看板.md;archive/力扣刷题/03-学习笔记/Day01-哈希与双指针.md;archive/力扣刷题/03-学习笔记/Day07-二叉树进阶与周复习.md;archive/力扣刷题/03-学习笔记/Day14-技巧与全局复习.md
algorithm-active-recall-loop	👀	exact	archive/力扣刷题/00-配置/学习日志.md;archive/力扣刷题/00-配置/进度看板.md;archive/力扣刷题/03-学习笔记/Day01-哈希与双指针.md;archive/力扣刷题/03-学习笔记/Day07-二叉树进阶与周复习.md;archive/力扣刷题/03-学习笔记/Day14-技巧与全局复习.md
algorithm-active-recall-loop	🟡	exact	archive/力扣刷题/00-配置/学习日志.md;archive/力扣刷题/00-配置/进度看板.md;archive/力扣刷题/03-学习笔记/Day01-哈希与双指针.md;archive/力扣刷题/03-学习笔记/Day07-二叉树进阶与周复习.md;archive/力扣刷题/03-学习笔记/Day14-技巧与全局复习.md
algorithm-active-recall-loop	🟢	exact	archive/力扣刷题/00-配置/学习日志.md;archive/力扣刷题/00-配置/进度看板.md;archive/力扣刷题/03-学习笔记/Day01-哈希与双指针.md;archive/力扣刷题/03-学习笔记/Day07-二叉树进阶与周复习.md;archive/力扣刷题/03-学习笔记/Day14-技巧与全局复习.md
algorithm-active-recall-loop	🔵	exact	archive/力扣刷题/00-配置/学习日志.md;archive/力扣刷题/00-配置/进度看板.md;archive/力扣刷题/03-学习笔记/Day01-哈希与双指针.md;archive/力扣刷题/03-学习笔记/Day07-二叉树进阶与周复习.md;archive/力扣刷题/03-学习笔记/Day14-技巧与全局复习.md
algorithm-active-recall-loop	学习日志	exact	archive/力扣刷题/00-配置/学习日志.md;archive/力扣刷题/学习中枢.md
algorithm-active-recall-loop	进度看板	exact	archive/力扣刷题/00-配置/进度看板.md;archive/力扣刷题/学习中枢.md
algorithm-problem-framework-selection	sliding_window	review-label	
algorithm-problem-framework-selection	binary_search	review-label	
algorithm-problem-framework-selection	BFS	exact	archive/力扣刷题/01-Raw/01-Hot100刷题体系调研报告.md;archive/力扣刷题/01-Raw/02-Hot100两周速通刷题计划.md;archive/力扣刷题/02-Wiki/专题总结/00-YXC常用模板索引.md;archive/力扣刷题/02-Wiki/专题总结/07-图论.md
algorithm-problem-framework-selection	DFS	exact	archive/力扣刷题/01-Raw/01-Hot100刷题体系调研报告.md;archive/力扣刷题/01-Raw/02-Hot100两周速通刷题计划.md;archive/力扣刷题/02-Wiki/专题总结/00-YXC常用模板索引.md;archive/力扣刷题/02-Wiki/专题总结/07-图论.md
algorithm-problem-framework-selection	backtracking	review-label	
algorithm-problem-framework-selection	DP	exact	archive/力扣刷题/01-Raw/01-Hot100刷题体系调研报告.md;archive/力扣刷题/01-Raw/02-Hot100两周速通刷题计划.md;archive/力扣刷题/02-Wiki/专题总结/10-动态规划.md
algorithm-problem-framework-selection	greedy	review-label	
algorithm-state-and-invariant-derivation	base_case	review-label	
algorithm-state-and-invariant-derivation	transition	review-label	
algorithm-state-and-invariant-derivation	invariant	review-label	
algorithm-state-and-invariant-derivation	check	exact	archive/力扣刷题/02-Wiki/专题总结/09-二分查找.md
algorithm-state-and-invariant-derivation	path	exact	archive/力扣刷题/02-Wiki/专题总结/08-回溯算法.md;archive/力扣刷题/02-Wiki/专题总结/10-动态规划.md
algorithm-state-and-invariant-derivation	choice_list	review-label	
algorithm-state-and-invariant-derivation	pruning	review-label	
cmake-source-discovery-incremental-build-audit	cmake_minimum_required	exact	projects/linux视觉感知项目/文档/01 项目概述/1.3 CMake 构建指南.md;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/LSTR_ONNX/CMakeLists.txt;projects/linux视觉感知项目/源码/卷积神经网络/卷积神经网络/Unet_NCNN/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime/CMakeLists.txt;projects/linux视觉感知项目/源码/图像预处理（加速前+加速后）/Lime_NEON+OpenMP/CMakeLists.txt
