# 人工来源新鲜度处置表；只记录 distillation 派生层的审计结论，不修改原始来源。
path	review_status	reviewed_at	decision	scope
assets/style-context/obsidian-background-mountain.jpg	context-only	2026-08-14	不影响规范 Skill 的来源结论；保留为样式附件证据，不回炉	附件
projects/嵌入式八股/FreeRTOS 源码解析.md	reviewed-static-boundary	2026-08-14	保留 linux-virtual-memory-reclaim-path 的引用；仅作为 FreeRTOS/ Linux 内存分配边界对照，不把它升级为 Linux 内核机制事实。若后续内存章节、版本警告或源码边界改变，再复核该 Skill 的 A1/B 与来源字段	linux-virtual-memory-reclaim-path
projects/嵌入式八股/index.md	context-only	2026-08-14	仅为目录/索引上下文变化；不承载规范 Skill 的核心事实，不回炉	索引
projects/嵌入式八股/图解系统-小林coding-v1.0.epub	context-only	2026-08-14	附件新增/变化只作为外部证据登记；当前规范 Skill 使用已抽取 Markdown，不自动替换来源链	附件
projects/嵌入式八股/糯叽叽八股/08 通讯协议.md	reviewed-static-boundary	2026-08-14	保留 embedded-bus-selection 与 embedded-c-struct-binary-contract-audit 的引用；当前可见 UART/SPI/CAN、CRC/DLC、结构体/位域内容仍支持既有边界。协议事实依电气层、ABI 和目标实现，暂不改写 Skill；若新增协议或字段合同，再回炉两者测试	embedded-bus-selection;embedded-c-struct-binary-contract-audit
测试.md	context-only	2026-08-14	独立测试/临时笔记变化不影响规范 Skill 来源；保留清单记录，不回炉	上下文
工作台/八股进度.base	reviewed-state-boundary	2026-08-14	只定义 Bases 的筛选、公式、分组和展示字段；不承载技术答案。它影响复习排序和统计呈现，不改变 embedded-learning-state-and-active-recall 的状态语义；保留为工作台配置证据	embedded-learning-state-and-active-recall
工作台/学习总账.md	reviewed-state-boundary	2026-08-14	明确未学/学过/掌握、待回看/已回看和 360 条统计口径；属于学习状态合同，不把状态推断成真实掌握。保留来源引用，暂不回炉	embedded-learning-state-and-active-recall
工作台/学习日志.md	reviewed-state-boundary	2026-08-14	只允许追加真实发生的学习记录；当前模板没有新增技术事实。保留为日志边界证据，暂不回炉	embedded-learning-state-and-active-recall
工作台/嵌入式学习工作台.md	reviewed-state-boundary	2026-08-14	仅为 Obsidian dashboard 入口和链接展示；不承载答案、掌握事实或客户端 Skill 路由。保留为派生 UI 证据，暂不回炉	embedded-learning-state-and-active-recall
工作台/条目记录/150题-001.md	reviewed-state-boundary	2026-08-14	单条记录只保存 static 题目的状态与原文链接；不能证明用户已掌握 static。保留为状态层样本，不升级为 C/C++ 技术事实	embedded-learning-state-and-active-recall
工作台/条目记录/小林网络-001.md	reviewed-state-boundary	2026-08-14	单条记录只保存 TCP/IP 网络模型章节的状态与来源；mastery=未学不代表章节内容为空，也不改变网络 Skill 的技术边界	embedded-learning-state-and-active-recall
工作台/条目记录/项目八股-RTOS-A0.md	reviewed-state-boundary	2026-08-14	单条记录只保存 RTOS 项目开场题的状态与面试原文链接；mastery=学过不等于个人贡献或项目运行已验证	embedded-learning-state-and-active-recall
工作台/资料地图.md	reviewed-state-boundary	2026-08-14	只记录主源、工作台统计方式、去重和排除边界；不新增技术结论。保留为 provenance 入口，暂不回炉	embedded-learning-state-and-active-recall
