gap_id	page_start	page_end	chapter	gap_kind	observed_text_or_asset	asset_files	missing_or_unverified	inference_boundary	evidence_level	next_check
GAP-001	2	2	I 基础算法	image-only	矩阵记录 1 个栅格 asset，快照文本保留逆序对说明但无图片引用；矩阵标签为归并流程图，未转录	distillation/algorithm-pdf/算法基础课模板大全-C++版本_assets/page-002-image-01.png	图中步骤、箭头、文字和与代码的对应关系不可由文本层确认	只能推断本页有归并/逆序对图示入口，不能推断图示结论	E1-IMAGE	人工回源 PDF p2 对照图示；本轮不 OCR、不升级事实等级
GAP-002	34	34	II 数据结构	image-table	矩阵记录 1 个栅格 asset，快照文本有字符串哈希代码和 STL 标题；矩阵标签为 STL 操作/复杂度表，未转录	distillation/algorithm-pdf/算法基础课模板大全-C++版本_assets/page-034-image-01.png	表格单元格、操作语义、复杂度和版面关系不可由快照确认	只能推断 STL 速查表待回源，不能把表格条目当已验证	E1-GAP	人工回源 PDF p34 逐单元格核对；本轮不 OCR
GAP-003	38	38	III 搜索与图论	image-only	矩阵记录 1 个栅格 asset，文本层出现数字全排列 DFS/回溯代码但无图片引用	distillation/algorithm-pdf/算法基础课模板大全-C++版本_assets/page-038-image-01.png	图片中的搜索树、剪枝和分支关系未转录或验证	只能把图片列为回溯图示缺口，不能推断图中完整证明	E1-IMAGE	人工回源 PDF p38 核对图片与代码；本轮不 OCR
GAP-004	39	39	III 搜索与图论	text-variable	文本层有树重心定义和 DFS 代码，但题面结点数/编号/边数出现空洞	-	缺失变量、精确题面、公式/版面和变量与代码的绑定	只能推断主题是树重心；不能补写空洞变量或复杂度	E1-GAP	人工回源 PDF p39 逐项核对变量和公式
GAP-005	40	40	III 搜索与图论	image-only	矩阵记录 1 个栅格 asset，文本层有 N 皇后棋盘/对角线标记代码但无图片引用	distillation/algorithm-pdf/算法基础课模板大全-C++版本_assets/page-040-image-01.png	棋盘示意、冲突关系和图片文字未转录	只能推断图片与 N 皇后主题相关，不能推断图示完备性	E1-IMAGE	人工回源 PDF p40 核对图示；本轮不 OCR
GAP-005A	47	47	III 搜索与图论	text-complexity	文本层有堆优化 Dijkstra 标题和代码，但“时间复杂度”表达式为空洞	-	复杂度表达式、变量含义和适用条件缺失	只能把本页作为堆优化 Dijkstra 定位，不得补写复杂度	E1-GAP	人工回源 PDF p47 核对复杂度式并独立验证
GAP-006	48	48	III 搜索与图论	image+text-formula	矩阵记录栅格 asset；文本层有 Bellman-Ford 代码但复杂度有空洞，矩阵标签为 Bellman-Ford 草稿图未转录	distillation/algorithm-pdf/算法基础课模板大全-C++版本_assets/page-048-image-01.png	草稿图箭头、公式、复杂度和备份数组关系未确认	只能推断 Bellman-Ford 主题和代码定位，不能引用图或精确复杂度	E1-GAP	人工回源 PDF p48 对照图片/公式，再核验代码
GAP-007	49	49	III 搜索与图论	text-complexity	文本层解释 Bellman-Ford 的 k 次迭代并引出 SPFA，但平均/最坏复杂度表达式为空洞	-	平均/最坏复杂度、变量和适用边界缺失	只能推断本页提供迭代解释和 SPFA 入口，不能补写复杂度结论	E1-GAP	人工回源 PDF p49 核对复杂度并用独立推导复验
GAP-008	53	53	III 搜索与图论	text-complexity	文本层出现 Floyd 动态规划说明、三重循环和代码，但复杂度表达式为空洞	-	复杂度表达式及相关变量缺失	只能推断 Floyd 全源最短路模板定位，不能把复杂度写成已验证事实	E1-GAP	人工回源 PDF p53 核对复杂度并独立验证
GAP-009	55	55	III 搜索与图论	text-complexity	文本层出现 Prim 朴素/堆优化和稠密/稀疏场景，但堆优化复杂度表达式为空洞	-	复杂度、场景边界和适用条件缺失	只能推断本页用于 Prim 两实现对照，不能确认复杂度表述	E1-GAP	人工回源 PDF p55 核对复杂度与场景条件
GAP-010	58	58	III 搜索与图论	text-complexity	文本层出现 Kruskal 按边排序和并查集代码，但复杂度标题后的表达式为空洞	-	复杂度表达式和变量缺失	只能推断 Kruskal 模板入口，不能补写复杂度或最优性证明	E1-GAP	人工回源 PDF p58 核对复杂度并独立验证
GAP-011	61	61	III 搜索与图论	image+text-complexity	矩阵记录栅格 asset；文本层有二分图染色代码但复杂度为空洞，矩阵标签为图示未转录	distillation/algorithm-pdf/算法基础课模板大全-C++版本_assets/page-061-image-01.png	图示、复杂度表达式、颜色语义和边界未确认	只能推断二分图染色主题，不能引用图示或复杂度	E1-GAP	人工回源 PDF p61 对照图示/复杂度，再核验代码
GAP-012	67	67	IV 数学知识	image-formula	矩阵记录 1 个栅格 asset；文本层有试除法求约数和约数个数主题，矩阵标签为公式推导未转录	distillation/algorithm-pdf/算法基础课模板大全-C++版本_assets/page-067-image-01.png	约数个数公式、上下标、推导步骤和图文关系缺失	只能推断本页是约数公式回源点，不能把公式当已验证	E1-GAP	人工回源 PDF p67 转录并逐项核对公式
GAP-013	68	68	IV 数学知识	image-formula	矩阵记录 1 个栅格 asset；文本层有约数之和和质因子次数代码，公式推导未转录	distillation/algorithm-pdf/算法基础课模板大全-C++版本_assets/page-068-image-01.png	约数和公式、推导和变量含义缺失	只能推断主题是约数和定理，不能补写推导或复杂度	E1-GAP	人工回源 PDF p68 转录/核对公式
