skill	primary_domain	package_files	frontmatter	description_action	description_trigger_label	description_boundary_literal	openai_interface	source_files	source_file_duplicates	source_missing	source_symbols	symbol_exact	symbol_qualified_leaf	symbol_review_label	ria	test_cases	test_counts	test_duplicate_ids	test_decoy_route	test_results_static	test_results_live_limit	test_results_breakdown	test_results_target_marker	primary_index	related_relation	client_hit_rate	target_runtime	priority	hard_findings	advisories
algorithm-active-recall-loop	leetcode-algorithm-learning	4/4	pass	pass	explicit	explicit	pass	7	0	0	7	7	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=2;external=0;unknown=0	not_measured	not_measured	none	none	none
algorithm-problem-framework-selection	leetcode-algorithm-learning	4/4	pass	pass	explicit	explicit	pass	7	0	0	7	3	0	4	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=2;external=0;unknown=0	not_measured	not_measured	P3	none	source_symbols语义标签待人工确认:4
algorithm-state-and-invariant-derivation	leetcode-algorithm-learning	4/4	pass	pass	explicit	explicit	pass	6	0	0	7	2	0	5	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=2;external=0;unknown=0	not_measured	not_measured	P3	none	source_symbols语义标签待人工确认:5
cmake-source-discovery-incremental-build-audit	linux-vision	4/4	pass	pass	explicit	explicit	pass	27	0	0	32	25	0	7	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	P3	none	source_symbols语义标签待人工确认:7
embedded-arm-linux-boot-chain	embedded-core	4/4	pass	pass	explicit	explicit	pass	2	0	0	11	7	0	4	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=2;external=0;unknown=0	not_measured	not_measured	P3	none	source_symbols语义标签待人工确认:4
embedded-bus-selection	embedded-core	4/4	pass	pass	explicit	explicit	pass	8	0	0	8	8	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=2;external=0;unknown=0	not_measured	not_measured	none	none	none
embedded-c-storage-linkage-audit	embedded-core	4/4	pass	pass	explicit	explicit	pass	5	0	0	17	16	0	1	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	P3	none	source_symbols语义标签待人工确认:1
embedded-c-struct-binary-contract-audit	embedded-core	4/4	pass	pass	explicit	explicit	pass	4	0	0	12	9	0	3	pass	6	3/2/1	0	pass	6/6	present	not-explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	P3	none	test-results未显式列出3/2/1;source_symbols语义标签待人工确认:3
embedded-cpp-resource-lifetime	embedded-core	4/4	pass	pass	explicit	explicit	pass	3	0	0	10	8	0	2	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	P3	none	source_symbols语义标签待人工确认:2
embedded-interview-layered-answer	embedded-core	4/4	pass	pass	explicit	explicit	pass	8	0	0	6	5	0	1	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	P3	none	source_symbols语义标签待人工确认:1
embedded-learning-state-and-active-recall	workbench-learning-state	4/4	pass	pass	explicit	explicit	pass	8	0	0	6	6	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	none	none	none
embedded-memory-lifetime-and-pool-design	embedded-core	4/4	pass	pass	explicit	explicit	pass	7	0	0	9	9	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	none	none	none
embedded-numeric-contract-audit	embedded-core	4/4	pass	pass	explicit	explicit	pass	2	0	0	11	11	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	none	none	none
interactive-lab-fact-boundary-audit	interactive-learning-labs	4/4	pass	pass	explicit	explicit	pass	5	0	0	8	6	0	2	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	P3	none	source_symbols语义标签待人工确认:2
linux-buddy-fragmentation-diagnosis	linux-memory-ebpf	4/4	pass	pass	explicit	explicit	pass	6	0	0	7	7	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=2;external=0;unknown=0	not_measured	not_measured	none	none	none
linux-build-debug-chain	linux-systems-tutorial	4/4	pass	pass	explicit	explicit	pass	4	0	0	12	12	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=2;external=0;unknown=0	not_measured	not_measured	none	none	none
linux-driver-device-tree-boundary	embedded-core	4/4	pass	pass	explicit	implicit	pass	3	0	0	17	17	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=5;external=0;unknown=0	not_measured	not_measured	P3	none	description未字面含Do not use/trigger排除句
linux-ebpf-map-counter-contract	linux-memory-ebpf	4/4	pass	pass	implicit	explicit	pass	5	0	0	8	8	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	P3	none	description未字面标Trigger phrases/触发
linux-fd-process-io-debugging	linux-systems-tutorial	4/4	pass	pass	explicit	explicit	pass	7	0	0	12	12	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	none	none	none
linux-file-persistence-crash-consistency	embedded-core	4/4	pass	pass	explicit	explicit	pass	4	0	0	7	6	0	1	pass	6	3/2/1	0	pass	6/6	present	not-explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	P3	none	test-results未显式列出3/2/1;source_symbols语义标签待人工确认:1
linux-memory-ebpf-pipeline	linux-memory-ebpf	4/4	pass	pass	explicit	explicit	pass	13	0	0	6	6	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	none	none	none
linux-memory-fastpath-observation-contract	linux-memory-ebpf	4/4	pass	pass	implicit	explicit	pass	4	0	0	7	7	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	P3	none	description未字面标Trigger phrases/触发
linux-memory-source-audit	linux-memory-ebpf	4/4	pass	pass	explicit	explicit	pass	6	0	0	12	12	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	none	none	none
linux-process-signal-daemon-lifecycle	linux-systems-tutorial	4/4	pass	pass	explicit	explicit	pass	6	0	0	24	24	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	none	none	none
linux-rx-napi-path-diagnosis	linux-systems-tutorial	4/4	pass	pass	explicit	explicit	pass	5	0	0	29	26	0	3	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	P3	none	source_symbols语义标签待人工确认:3
linux-socket-multiplexing-design	linux-systems-tutorial	4/4	pass	pass	explicit	explicit	pass	6	0	0	11	11	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	none	none	none
linux-tcp-loss-path-diagnosis	embedded-core	4/4	pass	pass	explicit	explicit	pass	7	0	0	25	25	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	none	none	none
linux-thread-sync-deadlock-diagnosis	linux-systems-tutorial	4/4	pass	pass	implicit	explicit	pass	4	0	0	34	33	1	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	P3	none	description未字面标Trigger phrases/触发
linux-udp-broadcast-reachability-contract	linux-systems-tutorial	4/4	pass	pass	explicit	explicit	pass	5	0	0	7	6	0	1	pass	6	3/2/1	0	pass	6/6	present	not-explicit	present	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	P3	none	test-results未显式列出3/2/1;source_symbols语义标签待人工确认:1
linux-udp-datagram-endpoint-routing	linux-systems-tutorial	4/4	pass	pass	explicit	explicit	pass	5	0	0	8	8	0	0	pass	6	3/2/1	0	pass	6/6	present	not-explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	P3	none	test-results未显式列出3/2/1
linux-udp-multicast-interface-membership-contract	linux-systems-tutorial	4/4	pass	pass	explicit	explicit	pass	5	0	0	8	8	0	0	pass	6	3/2/1	0	pass	6/6	present	not-explicit	present	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	P3	none	test-results未显式列出3/2/1
linux-userspace-timer-drift-audit	embedded-core	4/4	pass	pass	explicit	explicit	pass	4	0	0	10	9	0	1	pass	6	3/2/1	0	pass	6/6	present	not-explicit	present	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	P3	none	test-results未显式列出3/2/1;source_symbols语义标签待人工确认:1
linux-virtual-memory-reclaim-path	embedded-core	4/4	pass	pass	explicit	explicit	pass	9	0	0	19	19	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	none	none	none
linux-vision-build-provenance-audit	linux-vision	4/4	pass	pass	explicit	explicit	pass	11	0	0	12	12	0	0	pass	6	3/2/1	0	pass	6/6	present	not-explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	P3	none	test-results未显式列出3/2/1
linux-vision-file-ipc-lifecycle-audit	linux-vision	4/4	pass	pass	explicit	explicit	pass	5	0	0	11	11	0	0	pass	6	3/2/1	0	pass	6/6	present	not-explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	P3	none	test-results未显式列出3/2/1
linux-vision-pipeline-and-optimization	linux-vision	4/4	pass	pass	explicit	explicit	pass	7	0	0	16	15	1	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	none	none	none
linux-vision-project-storytelling	linux-vision	4/4	pass	pass	explicit	explicit	pass	4	0	0	13	9	0	4	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=2;external=0;unknown=0	not_measured	not_measured	P3	none	source_symbols语义标签待人工确认:4
linux-vision-qt-image-buffer-adapter-audit	linux-vision	4/4	pass	pass	implicit	explicit	pass	4	0	0	10	8	2	0	pass	6	3/2/1	0	pass	6/6	present	not-explicit	present	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	P3	none	test-results未显式列出3/2/1;description未字面标Trigger phrases/触发
linux-vision-resource-telemetry-contract-audit	linux-vision	4/4	pass	pass	implicit	explicit	pass	6	0	0	9	7	2	0	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	P3	none	description未字面标Trigger phrases/触发
qt-event-loop-signal-slot-audit	linux-vision	4/4	pass	pass	implicit	implicit	pass	7	0	0	24	16	6	2	pass	6	3/2/1	0	pass	6/6	present	not-explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	P3	none	test-results未显式列出3/2/1;description未字面标Trigger phrases/触发;description未字面含Do not use/trigger排除句;source_symbols语义标签待人工确认:2
rtos-auto-mode-state-machine	rtos-project	4/4	pass	pass	explicit	explicit	pass	9	0	0	12	12	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=5;external=0;unknown=0	not_measured	not_measured	none	none	none
rtos-build-flash-runtime-provenance	rtos-project	4/4	pass	pass	implicit	explicit	pass	19	0	0	21	21	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=5;external=0;unknown=0	not_measured	not_measured	P3	none	description未字面标Trigger phrases/触发
rtos-communication-debugging	rtos-project	4/4	pass	pass	explicit	explicit	pass	9	0	0	7	7	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=2;external=0;unknown=0	not_measured	not_measured	none	none	none
rtos-display-buzzer-feedback	rtos-project	4/4	pass	pass	explicit	explicit	pass	18	0	0	29	29	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	none	none	none
rtos-freertos-config-and-boot	rtos-project	4/4	pass	pass	explicit	explicit	pass	16	0	0	16	16	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	none	none	none
rtos-iap-firmware-upgrade	rtos-project	4/4	pass	pass	explicit	implicit	pass	19	0	0	16	16	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	P3	none	description未字面含Do not use/trigger排除句
rtos-key-event-state-machine	rtos-project	4/4	pass	pass	explicit	explicit	pass	6	0	0	9	9	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	none	none	none
rtos-motor-pid-control	rtos-project	4/4	pass	pass	explicit	explicit	pass	9	0	0	17	17	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=2;external=0;unknown=0	not_measured	not_measured	none	none	none
rtos-project-storytelling	rtos-project	4/4	pass	pass	explicit	explicit	pass	4	0	0	14	12	0	2	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	P3	none	source_symbols语义标签待人工确认:2
rtos-runtime-fault-diagnosis	rtos-project	4/4	pass	pass	explicit	explicit	pass	14	0	0	17	17	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	none	none	none
rtos-sensor-acquisition-and-fusion	rtos-project	4/4	pass	pass	explicit	explicit	pass	12	0	0	8	8	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	none	none	none
rtos-software-timer-periodic-design	rtos-project	4/4	pass	pass	explicit	implicit	pass	8	0	0	24	24	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	P3	none	description未字面含Do not use/trigger排除句
rtos-task-and-isr-design	rtos-project	4/4	pass	pass	explicit	explicit	pass	10	0	0	19	19	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=3;external=0;unknown=0	not_measured	not_measured	none	none	none
stm32-clock-and-sampling-timing	embedded-core	4/4	pass	pass	explicit	implicit	pass	8	0	0	11	11	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	P3	none	description未字面含Do not use/trigger排除句
vault-source-boundary-and-derived-artifact-audit	vault-methodology-and-tools	4/4	pass	pass	explicit	explicit	pass	9	0	0	7	7	0	0	pass	6	3/2/1	0	pass	6/6	present	explicit	not-stated	pass	canonical=1;external=2;unknown=0	not_measured	not_measured	none	none	none
vision-model-tensor-contract-audit	linux-vision	4/4	pass	pass	implicit	explicit	pass	13	0	0	29	24	5	0	pass	6	3/2/1	0	pass	6/6	present	explicit	present	pass	canonical=4;external=0;unknown=0	not_measured	not_measured	P3	none	description未字面标Trigger phrases/触发

